file_name,full_path,size_kb,status
type-people_also_ask_rg1_ra9_metadata.md,parsed_content_markdowns/Barangaroo/people_also_ask/type-people_also_ask_rg1_ra9_metadata.md,0.26,⚠️ LOW_CONTENT
type-organic_rg10_ra14_yelp.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg10_ra14_yelp.md,1.0,⚠️ LOW_CONTENT
type-organic_rg20_ra24_instagram.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg20_ra24_instagram.md,0.93,⚠️ LOW_CONTENT
type-organic_rg17_ra21_topglaze.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg17_ra21_topglaze.md,0.96,⚠️ LOW_CONTENT
type-organic_rg14_ra18_localsearch.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg14_ra18_localsearch.md,1.0,⚠️ LOW_CONTENT
type-organic_rg18_ra22_monkeysroofing.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg18_ra22_monkeysroofing.md,0.9,⚠️ LOW_CONTENT
type-organic_rg16_ra20_hipages.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg16_ra20_hipages.md,0.97,⚠️ LOW_CONTENT
type-organic_rg12_ra16_facebook.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg12_ra16_facebook.md,0.91,⚠️ LOW_CONTENT
type-local_pack_rg2_ra2_sydneyroofingspecialists.md,parsed_content_markdowns/Barangaroo/local_pack/type-local_pack_rg2_ra2_sydneyroofingspecialists.md,0.95,⚠️ LOW_CONTENT
type-local_pack_rg1_ra1_nuroofing.md,parsed_content_markdowns/Barangaroo/local_pack/type-local_pack_rg1_ra1_nuroofing.md,0.9,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra14_metadata.md,parsed_content_markdowns/Artarmon/people_also_ask/type-people_also_ask_rg1_ra14_metadata.md,0.26,⚠️ LOW_CONTENT
type-organic_rg14_ra18_auscityroofing.md,parsed_content_markdowns/Artarmon/organic/type-organic_rg14_ra18_auscityroofing.md,0.95,⚠️ LOW_CONTENT
type-organic_rg12_ra16_proximityplumbing.md,parsed_content_markdowns/Artarmon/organic/type-organic_rg12_ra16_proximityplumbing.md,0.95,⚠️ LOW_CONTENT
type-organic_rg13_ra17_m.md,parsed_content_markdowns/Artarmon/organic/type-organic_rg13_ra17_m.md,0.96,⚠️ LOW_CONTENT
